iter	Passed	Remaining
0	193	194135
1	257	128649
2	310	103436
3	371	92658
4	432	86232
5	465	77325
6	532	75739
7	587	73130
8	658	72729
9	681	67656
10	732	66082
11	752	62165
12	781	59503
13	802	56670
14	867	57164
15	934	57664
16	1006	58403
17	1084	59368
18	1150	59572
19	1234	60665
20	1322	61824
21	1415	63133
22	1474	62812
23	1565	63868
24	1580	61839
25	1634	61437
26	1695	61284
27	1738	60553
28	1802	60550
29	1915	62115
30	2027	63563
31	2097	63647
32	2178	64032
33	2246	64027
34	2288	63286
35	2350	63127
36	2426	63356
37	2497	63412
38	2596	64185
39	2715	65371
40	2772	65059
41	2836	64907
42	2887	64455
43	2969	64714
44	3027	64444
45	3082	64127
46	3134	63764
47	3211	63885
48	3234	62967
49	3292	62760
50	3349	62530
51	3392	62035
52	3490	62570
53	3664	64395
54	3744	64540
55	3857	65234
56	3993	66283
57	4072	66353
58	4179	66870
59	4283	67324
60	4361	67358
61	4478	67973
62	4607	68748
63	4730	69404
64	4787	69089
65	4870	69148
66	5015	70069
67	5133	70583
68	5231	70809
69	5291	70533
70	5382	70657
71	5489	70979
72	5567	70931
73	5672	71207
74	5711	70674
75	5822	71016
76	5886	70792
77	5956	70642
78	6015	70358
79	6083	70183
80	6157	70087
81	6219	69859
82	6274	69550
83	6327	69227
84	6401	69138
85	6459	68879
86	6519	68646
87	6577	68392
88	6651	68304
89	6708	68052
90	6769	67842
91	6822	67562
92	6893	67451
93	6939	67103
94	6987	66783
95	7047	66587
96	7078	66113
97	7148	66009
98	7207	65817
99	7279	65731
100	7356	65695
101	7457	65874
102	7538	65872
103	7569	65434
104	7593	64946
105	7651	64750
106	7709	64560
107	7770	64392
108	7831	64230
109	7852	63746
110	7912	63583
111	7966	63375
112	8033	63269
113	8093	63111
114	8152	62949
115	8192	62642
116	8266	62602
117	8331	62489
118	8393	62350
119	8450	62178
120	8525	62144
121	8584	61993
122	8635	61785
123	8668	61446
124	8716	61224
125	8765	61008
126	8819	60836
127	8877	60688
128	8935	60539
129	9011	60515
130	9065	60345
131	9123	60201
132	9162	59935
133	9221	59799
134	9262	59556
135	9297	59270
136	9359	59160
137	9456	59271
138	9476	58906
139	9560	58935
140	9582	58582
141	9635	58422
142	9706	58372
143	9762	58237
144	9819	58106
145	9873	57954
146	9940	57882
147	10001	57776
148	10013	57392
149	10085	57351
150	10166	57360
151	10178	56987
152	10191	56617
153	10203	56250
154	10216	55895
155	10276	55798
156	10353	55790
157	10545	56396
158	10567	56094
159	10595	55823
160	10619	55538
161	10697	55534
162	10770	55503
163	10799	55250
164	10860	55160
165	10915	55039
166	10975	54944
167	11030	54825
168	11061	54588
169	11114	54462
170	11176	54377
171	11203	54128
172	11261	54029
173	11325	53956
174	11393	53905
175	11488	53985
176	11563	53962
177	11576	53653
178	11644	53602
179	11700	53496
180	11760	53409
181	11815	53301
182	11828	53000
183	11840	52702
184	11863	52457
185	11919	52355
186	11976	52259
187	12035	52173
188	12103	52128
189	12162	52043
190	12224	51968
191	12237	51690
192	12296	51607
193	12369	51582
194	12428	51498
195	12451	51267
196	12519	51220
197	12534	50959
198	12647	51097
199	12667	50860
200	12727	50781
201	12787	50706
202	12846	50625
203	12918	50597
204	13000	50606
205	13063	50540
206	13126	50475
207	13165	50321
208	13196	50133
209	13260	50073
210	13272	49819
211	13340	49776
212	13429	49809
213	13523	49859
214	13599	49844
215	13656	49756
216	13669	49511
217	13724	49419
218	13812	49446
219	13837	49248
220	13913	49232
221	13977	49172
222	14056	49166
223	14071	48935
224	14127	48850
225	14175	48735
226	14242	48686
227	14318	48671
228	14331	48437
229	14405	48414
230	14456	48314
231	14516	48242
232	14585	48200
233	14615	48029
234	14672	47949
235	14740	47906
236	14811	47872
237	14877	47821
238	14940	47760
239	15035	47800
240	15095	47730
241	15145	47626
242	15203	47550
243	15280	47532
244	15352	47499
245	15427	47474
246	15523	47512
247	15626	47571
248	15696	47529
249	15791	47564
250	15863	47528
251	15942	47509
252	16053	47589
253	16150	47626
254	16169	47430
255	16271	47478
256	16373	47526
257	16461	47535
258	16552	47547
259	16627	47516
